CVE,CVSS version,CVSS,EPSS,EPSS percentile
CVE-1999-0032,cvssMetricV2,7.2,0.000440000,0.159430000
CVE-1999-0277,cvssMetricV2,7.2,0.000440000,0.159430000
CVE-1999-1384,cvssMetricV2,7.2,0.001210000,0.479680000
CVE-1999-0311,cvssMetricV2,7.2,0.000420000,0.050480000
CVE-1999-0336,cvssMetricV2,7.2,0.000420000,0.050480000
CVE-1999-1161,cvssMetricV2,7.2,0.000420000,0.050480000
CVE-1999-0130,cvssMetricV2,7.2,0.000420000,0.002880000
CVE-1999-1221,cvssMetricV2,2.1,0.000420000,0.050480000
CVE-1999-1099,cvssMetricV2,5.0,0.005640000,0.780610000
CVE-1999-1240,cvssMetricV2,7.5,0.002430000,0.642110000
CVE-1999-0050,cvssMetricV2,7.2,0.000600000,0.281940000
CVE-1999-0044,cvssMetricV2,7.2,0.000420000,0.002880000
CVE-1999-0129,cvssMetricV2,4.6,0.000450000,0.187060000
CVE-1999-0043,cvssMetricV31,9.8,0.008320000,0.822030000
CVE-1999-0043,cvssMetricV2,10.0,0.008320000,0.822030000
CVE-1999-1401,cvssMetricV2,4.6,0.000590000,0.278230000
CVE-1999-0045,cvssMetricV2,7.5,0.004420000,0.750890000
CVE-1999-0096,cvssMetricV2,5.0,0.011680000,0.851230000
CVE-1999-0101,cvssMetricV2,10.0,0.005950000,0.786650000
CVE-1999-0297,cvssMetricV2,7.2,0.000420000,0.050480000
CVE-1999-1089,cvssMetricV2,7.2,0.000420000,0.050480000
CVE-1999-0128,cvssMetricV2,5.0,0.011520000,0.850110000
CVE-1999-0127,cvssMetricV2,7.2,0.000420000,0.050480000
CVE-1999-1385,cvssMetricV2,7.2,0.000420000,0.050480000
CVE-1999-1026,cvssMetricV2,7.2,0.000420000,0.002880000
CVE-1999-0260,cvssMetricV2,7.5,0.004120000,0.741710000
CVE-1999-1251,cvssMetricV2,2.1,0.000420000,0.050480000
CVE-1999-0100,cvssMetricV2,10.0,0.015000000,0.870350000
CVE-1999-0163,cvssMetricV2,7.2,0.000420000,0.050480000
CVE-1999-0166,cvssMetricV2,5.0,0.005450000,0.776660000
CVE-1999-0170,cvssMetricV2,7.5,0.007270000,0.809140000
CVE-1999-0171,cvssMetricV2,2.1,0.000430000,0.124360000
CVE-1999-0173,cvssMetricV2,5.0,0.003810000,0.732220000
CVE-1999-0178,cvssMetricV2,7.5,0.079530000,0.944280000
CVE-1999-0179,cvssMetricV2,5.0,0.074950000,0.942270000
CVE-1999-0180,cvssMetricV2,7.5,0.005640000,0.780690000
CVE-1999-0201,cvssMetricV2,6.4,0.008620000,0.825140000
CVE-1999-0202,cvssMetricV2,7.5,0.005640000,0.780690000
CVE-1999-0204,cvssMetricV2,10.0,0.036380000,0.917960000
CVE-1999-0217,cvssMetricV2,5.0,0.049570000,0.929060000
CVE-1999-0236,cvssMetricV31,7.5,0.002800000,0.687160000
CVE-1999-0236,cvssMetricV2,5.0,0.002800000,0.687160000
CVE-1999-0249,cvssMetricV2,7.2,0.002060000,0.591590000
CVE-1999-0251,cvssMetricV2,5.0,0.002710000,0.681310000
CVE-1999-0252,cvssMetricV2,7.5,0.003940000,0.736390000
CVE-1999-0253,cvssMetricV2,7.5,0.014230000,0.866850000
CVE-1999-0265,cvssMetricV2,5.0,0.060620000,0.935940000
CVE-1999-0274,cvssMetricV2,5.0,0.775600000,0.985180000
CVE-1999-0345,cvssMetricV2,5.0,0.008480000,0.823740000
CVE-1999-0496,cvssMetricV2,7.2,0.000430000,0.123340000
CVE-1999-0499,cvssMetricV2,7.5,0.003490000,0.720470000
