CVE,CVSS version,CVSS,EPSS,EPSS percentile
CVE-2016-6366,cvssMetricV31,8.8,0.92086,0.997
CVE-2016-6415,cvssMetricV31,7.5,0.93172,0.99792
CVE-2016-6601,cvssMetricV30,7.5,0.92579,0.99739
CVE-2016-7200,cvssMetricV31,8.8,0.92176,0.99706
CVE-2016-8870,cvssMetricV30,8.1,0.92395,0.99725
CVE-2017-0143,cvssMetricV31,8.8,0.94127,0.99902
CVE-2017-0144,cvssMetricV31,8.8,0.9444,0.99988
CVE-2017-0145,cvssMetricV31,8.8,0.93686,0.99847
CVE-2017-0146,cvssMetricV31,8.8,0.93957,0.99878
CVE-2017-0147,cvssMetricV31,7.5,0.92774,0.99756
CVE-2017-0148,cvssMetricV31,8.1,0.94225,0.99916
CVE-2017-0199,cvssMetricV31,7.8,0.94379,0.99962
CVE-2017-0213,cvssMetricV31,7.3,0.91856,0.99684
CVE-2017-0261,cvssMetricV31,7.8,0.93027,0.99779
CVE-2017-0929,cvssMetricV30,7.5,0.91283,0.99647
CVE-2017-1000028,cvssMetricV30,7.5,0.9357,0.99833
CVE-2017-10271,cvssMetricV31,7.5,0.94439,0.99987
CVE-2017-10974,cvssMetricV30,7.5,0.91457,0.99659
CVE-2017-11512,cvssMetricV30,7.5,0.90095,0.99574
CVE-2017-11610,cvssMetricV30,8.8,0.94218,0.99915
CVE-2017-11774,cvssMetricV31,7.8,0.90188,0.99581
CVE-2017-11826,cvssMetricV31,7.8,0.92039,0.99695
CVE-2017-11882,cvssMetricV31,7.8,0.94384,0.99964
CVE-2017-12615,cvssMetricV31,8.1,0.9436,0.99956
CVE-2017-12616,cvssMetricV30,7.5,0.9143,0.99658
CVE-2017-12617,cvssMetricV31,8.1,0.94394,0.99969
CVE-2017-12636,cvssMetricV30,7.2,0.93249,0.99799
CVE-2017-15715,cvssMetricV30,8.1,0.94235,0.9992
CVE-2017-16806,cvssMetricV30,7.5,0.90008,0.99569
CVE-2017-17090,cvssMetricV30,7.5,0.9036,0.99588
CVE-2017-17215,cvssMetricV30,8.8,0.91902,0.99686
CVE-2017-17562,cvssMetricV31,8.1,0.94373,0.9996
CVE-2017-3506,cvssMetricV31,7.4,0.94424,0.9998
CVE-2017-5487,cvssMetricV30,5.3,0.92875,0.99766
CVE-2017-5521,cvssMetricV31,8.1,0.94193,0.99911
CVE-2017-5715,cvssMetricV31,5.6,0.90097,0.99575
CVE-2017-5753,cvssMetricV31,5.6,0.94121,0.99901
CVE-2017-5754,cvssMetricV30,5.6,0.92707,0.99749
CVE-2017-6334,cvssMetricV31,8.8,0.91064,0.99629
CVE-2017-6884,cvssMetricV31,8.8,0.92851,0.99763
CVE-2017-7529,cvssMetricV31,7.5,0.92218,0.99709
CVE-2017-7615,cvssMetricV31,8.8,0.92741,0.99752
CVE-2017-8291,cvssMetricV31,7.8,0.91773,0.99677
CVE-2017-8464,cvssMetricV31,8.8,0.93639,0.99841
CVE-2017-8570,cvssMetricV31,7.8,0.94247,0.99922
CVE-2017-8759,cvssMetricV31,7.8,0.93893,0.99869
CVE-2017-9798,cvssMetricV31,7.5,0.94002,0.99884
CVE-2017-9805,cvssMetricV31,8.1,0.9439,0.99967
CVE-2017-9822,cvssMetricV31,8.8,0.94284,0.99929
CVE-2017-9833,cvssMetricV31,7.5,0.91148,0.99636
CVE-2018-0296,cvssMetricV31,7.5,0.94438,0.99987
CVE-2018-0798,cvssMetricV31,8.8,0.94202,0.99913
CVE-2018-0802,cvssMetricV31,7.8,0.94103,0.99897
CVE-2018-0886,cvssMetricV30,7.0,0.91458,0.9966
CVE-2018-1000006,cvssMetricV30,8.8,0.93156,0.9979
CVE-2018-1000600,cvssMetricV30,8.8,0.93564,0.99832
CVE-2018-10823,cvssMetricV31,8.8,0.93747,0.99856
CVE-2018-1111,cvssMetricV30,7.5,0.90727,0.99611
CVE-2018-11409,cvssMetricV30,5.3,0.904,0.99591
CVE-2018-11759,cvssMetricV30,7.5,0.94026,0.99888
CVE-2018-11776,cvssMetricV31,8.1,0.94429,0.99983
CVE-2018-12613,cvssMetricV31,8.8,0.94025,0.99887
CVE-2018-1271,cvssMetricV31,5.9,0.91524,0.99664
CVE-2018-1335,cvssMetricV30,8.1,0.93536,0.99828
CVE-2018-14912,cvssMetricV30,7.5,0.91377,0.99652
CVE-2018-15473,cvssMetricV31,5.3,0.90727,0.99611
CVE-2018-16509,cvssMetricV30,7.8,0.91125,0.99634
CVE-2018-16858,cvssMetricV30,7.8,0.92189,0.99707
CVE-2018-17463,cvssMetricV31,8.8,0.91003,0.99626
CVE-2018-18264,cvssMetricV30,7.5,0.92752,0.99754
CVE-2018-18778,cvssMetricV30,6.5,0.9258,0.9974
CVE-2018-18809,cvssMetricV31,6.5,0.93962,0.99879
CVE-2018-19518,cvssMetricV31,7.5,0.93964,0.99879
CVE-2018-1999002,cvssMetricV31,7.5,0.93695,0.99848
CVE-2018-20250,cvssMetricV31,7.8,0.93161,0.9979
CVE-2018-3760,cvssMetricV30,7.5,0.93612,0.99837
CVE-2018-4407,cvssMetricV30,8.8,0.90236,0.99583
CVE-2018-6910,cvssMetricV31,7.5,0.90822,0.99615
CVE-2018-6961,cvssMetricV31,8.1,0.92164,0.99705
CVE-2018-7422,cvssMetricV30,7.5,0.91188,0.99638
CVE-2018-7490,cvssMetricV30,7.5,0.94024,0.99887
CVE-2018-7700,cvssMetricV30,8.8,0.93399,0.99814
CVE-2018-8120,cvssMetricV31,7.0,0.94232,0.99919
CVE-2018-8174,cvssMetricV31,7.5,0.94283,0.99928
CVE-2018-8298,cvssMetricV31,7.5,0.9013,0.99577
CVE-2018-8581,cvssMetricV31,7.4,0.90888,0.99619
CVE-2019-0193,cvssMetricV31,7.2,0.93381,0.99811
CVE-2019-0232,cvssMetricV30,8.1,0.94225,0.99916
CVE-2019-0539,cvssMetricV30,7.5,0.91263,0.99645
CVE-2019-0567,cvssMetricV30,7.5,0.91226,0.99641
CVE-2019-0752,cvssMetricV31,7.5,0.91963,0.9969
CVE-2019-0768,cvssMetricV30,4.3,0.92313,0.99718
CVE-2019-1003000,cvssMetricV31,8.8,0.94333,0.99944
CVE-2019-1003001,cvssMetricV31,8.8,0.93793,0.99861
CVE-2019-1003002,cvssMetricV31,8.8,0.93925,0.99873
CVE-2019-10475,cvssMetricV31,6.1,0.92835,0.99762
CVE-2019-11043,cvssMetricV31,8.7,0.94114,0.99899
CVE-2019-11248,cvssMetricV31,8.2,0.90841,0.99617
CVE-2019-11539,cvssMetricV31,7.2,0.94025,0.99887
CVE-2019-12169,cvssMetricV31,8.8,0.90005,0.99569
CVE-2019-13720,cvssMetricV31,8.8,0.90878,0.99618
CVE-2019-14322,cvssMetricV31,7.5,0.92458,0.9973
CVE-2019-1458,cvssMetricV31,7.8,0.92518,0.99735
CVE-2019-15642,cvssMetricV30,8.8,0.90824,0.99615
CVE-2019-1579,cvssMetricV31,8.1,0.93262,0.998
CVE-2019-15949,cvssMetricV31,8.8,0.903,0.99585
CVE-2019-16097,cvssMetricV31,6.5,0.92883,0.99767
CVE-2019-16113,cvssMetricV31,8.8,0.90351,0.99587
CVE-2019-16279,cvssMetricV31,7.5,0.90656,0.99606
CVE-2019-16313,cvssMetricV31,7.5,0.92899,0.99769
CVE-2019-1652,cvssMetricV31,7.2,0.90625,0.99604
CVE-2019-1653,cvssMetricV31,7.5,0.94372,0.99959
CVE-2019-16663,cvssMetricV31,8.8,0.93945,0.99876
CVE-2019-17418,cvssMetricV31,7.2,0.90239,0.99583
CVE-2019-17558,cvssMetricV31,7.5,0.9446,0.99993
CVE-2019-1821,cvssMetricV30,8.8,0.93875,0.99868
CVE-2019-18371,cvssMetricV31,7.5,0.9331,0.99805
CVE-2019-19509,cvssMetricV31,8.8,0.92282,0.99714
CVE-2019-19824,cvssMetricV31,8.8,0.93715,0.99851
CVE-2019-20085,cvssMetricV31,7.5,0.93822,0.99864
CVE-2019-20499,cvssMetricV31,7.8,0.91895,0.99685
CVE-2019-20500,cvssMetricV31,7.8,0.93636,0.99841
CVE-2019-2616,cvssMetricV31,7.2,0.94341,0.99948
CVE-2019-2890,cvssMetricV31,7.2,0.90002,0.99568
CVE-2019-3398,cvssMetricV31,8.8,0.94228,0.99917
CVE-2019-3403,cvssMetricV31,5.3,0.91119,0.99634
CVE-2019-3799,cvssMetricV31,6.5,0.9117,0.99637
CVE-2019-5418,cvssMetricV31,7.5,0.94231,0.99918
CVE-2019-5786,cvssMetricV31,6.5,0.91215,0.9964
CVE-2019-6340,cvssMetricV31,8.1,0.94412,0.99975
CVE-2019-6715,cvssMetricV31,7.5,0.9305,0.9978
CVE-2019-7481,cvssMetricV31,7.5,0.9438,0.99963
CVE-2019-8442,cvssMetricV31,7.5,0.92613,0.99744
CVE-2019-8451,cvssMetricV31,6.5,0.93296,0.99803
CVE-2019-8942,cvssMetricV30,8.8,0.90693,0.99609
CVE-2019-8943,cvssMetricV31,6.5,0.92253,0.99712
CVE-2019-9053,cvssMetricV30,8.1,0.92021,0.99694
CVE-2019-9082,cvssMetricV31,8.8,0.94149,0.99907
CVE-2019-9193,cvssMetricV30,7.2,0.93941,0.99876
CVE-2019-9621,cvssMetricV30,7.5,0.91286,0.99647
CVE-2019-9978,cvssMetricV31,6.1,0.90614,0.99603
CVE-2020-0601,cvssMetricV31,8.1,0.93923,0.99872
CVE-2020-0618,cvssMetricV31,8.8,0.94252,0.99923
CVE-2020-0674,cvssMetricV31,7.5,0.93744,0.99856
CVE-2020-0688,cvssMetricV31,8.8,0.94418,0.99978
CVE-2020-10199,cvssMetricV31,8.8,0.94379,0.99962
CVE-2020-1020,cvssMetricV31,8.8,0.90171,0.9958
CVE-2020-10221,cvssMetricV31,8.8,0.9106,0.99628
CVE-2020-10770,cvssMetricV31,5.3,0.92282,0.99714
CVE-2020-1147,cvssMetricV31,7.8,0.92714,0.9975
CVE-2020-11652,cvssMetricV31,6.5,0.942,0.99912
CVE-2020-11738,cvssMetricV31,7.5,0.94228,0.99918
CVE-2020-11853,cvssMetricV31,8.8,0.90625,0.99605
CVE-2020-11978,cvssMetricV31,8.8,0.94415,0.99977
CVE-2020-11991,cvssMetricV31,7.5,0.92562,0.99738
CVE-2020-12116,cvssMetricV31,7.5,0.90527,0.99598
CVE-2020-1313,cvssMetricV31,7.8,0.90512,0.99596
CVE-2020-13158,cvssMetricV31,7.5,0.92791,0.99757
CVE-2020-13379,cvssMetricV31,8.2,0.93607,0.99836
CVE-2020-1380,cvssMetricV31,7.8,0.92667,0.99748
CVE-2020-13851,cvssMetricV31,8.8,0.92224,0.99711
CVE-2020-13935,cvssMetricV31,7.5,0.92306,0.99717
CVE-2020-13937,cvssMetricV31,5.3,0.92937,0.99772
CVE-2020-13945,cvssMetricV31,6.5,0.94107,0.99897
CVE-2020-14144,cvssMetricV31,7.2,0.93389,0.99813
CVE-2020-14179,cvssMetricV31,5.3,0.92758,0.99754
CVE-2020-14181,cvssMetricV31,5.3,0.93617,0.99839
CVE-2020-1472,cvssMetricV31,5.5,0.94448,0.99991
CVE-2020-14864,cvssMetricV31,7.5,0.94009,0.99886
CVE-2020-14883,cvssMetricV31,7.2,0.94437,0.99986
CVE-2020-15148,cvssMetricV31,8.9,0.90954,0.99622
CVE-2020-15227,cvssMetricV31,8.7,0.93716,0.99851
CVE-2020-15867,cvssMetricV31,7.2,0.91102,0.99633
CVE-2020-16952,cvssMetricV31,8.6,0.90317,0.99585
CVE-2020-17144,cvssMetricV31,8.4,0.91623,0.9967
CVE-2020-17505,cvssMetricV31,8.8,0.91007,0.99626
CVE-2020-17518,cvssMetricV31,7.5,0.93201,0.99795
CVE-2020-17519,cvssMetricV31,7.5,0.94413,0.99976
CVE-2020-1956,cvssMetricV31,8.8,0.93525,0.99826
CVE-2020-2038,cvssMetricV31,7.2,0.92464,0.9973
CVE-2020-2096,cvssMetricV31,6.1,0.93511,0.99824
CVE-2020-25078,cvssMetricV31,7.5,0.93466,0.99821
CVE-2020-25540,cvssMetricV31,7.5,0.93703,0.99849
CVE-2020-26217,cvssMetricV31,8.0,0.93176,0.99792
CVE-2020-26258,cvssMetricV31,6.3,0.93194,0.99794
CVE-2020-26413,cvssMetricV31,5.3,0.90436,0.99592
CVE-2020-27986,cvssMetricV31,7.5,0.90756,0.99612
CVE-2020-28949,cvssMetricV31,7.8,0.93057,0.99781
CVE-2020-3452,cvssMetricV31,7.5,0.94452,0.99992
CVE-2020-35578,cvssMetricV31,7.2,0.90484,0.99595
CVE-2020-3580,cvssMetricV31,6.1,0.93247,0.99799
CVE-2020-36289,cvssMetricV31,5.3,0.91248,0.99643
CVE-2020-5410,cvssMetricV31,7.5,0.94324,0.99942
CVE-2020-5791,cvssMetricV31,7.2,0.91261,0.99645
CVE-2020-5849,cvssMetricV31,7.5,0.93895,0.9987
CVE-2020-7246,cvssMetricV31,8.8,0.93601,0.99836
CVE-2020-8193,cvssMetricV31,6.5,0.94349,0.99952
CVE-2020-8209,cvssMetricV31,7.5,0.93163,0.9979
CVE-2020-8218,cvssMetricV31,7.2,0.91071,0.9963
CVE-2020-8617,cvssMetricV31,7.5,0.92735,0.99751
CVE-2020-8654,cvssMetricV31,8.8,0.9194,0.99689
CVE-2020-8813,cvssMetricV31,8.8,0.93975,0.99881
